id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license;ciudad
551945110437779910;Acogedora habitación en el barrio Salamanca;180958293;Javier;Salamanca;Guindalera;40.4347;-3.66112;Private room;58.0;1;17;2024-07-14;0.54;1;152;3;;madrid
42625460;I rent a room in my flat in Madrid.;216930688;Alfredo;Ciudad Lineal;Concepción;40.4333861;-3.6558211;Private room;40.0;2;1;2024-06-16;0.34;1;71;1;;madrid
872953179287567513;Flat with a large terrace;491145471;Pedro;Hortaleza;Pinar del Rey;40.47433528177572;-3.6399655064590366;Entire home/apt;226.0;1;2;2024-08-15;0.17;4;344;2;;madrid
43713115;Stunning  PRADO SANTA ANA Cozy Sunny 2bd/2ba LIFT;8647044;Carmen;Centro;Cortes;40.41572;-3.69723;Entire home/apt;250.0;7;70;2024-08-27;1.39;7;297;21;;madrid
16282155;Museos, Atocha, Plaza Mayor, very close! Center.;36618530;Freddy;Centro;Embajadores;40.41136;-3.69924;Private room;50.0;2;44;2024-09-08;0.47;1;153;29;;madrid
562002834936558067;Olala Color Apartment Bajos A Accesible;129000409;Olala Homes;Puente de Vallecas;San Diego;40.39414;-3.66916;Entire home/apt;146.0;1;22;2024-08-18;0.77;47;281;7;VT-13438;madrid
857725744943645632;loft reformado de diseño;391810099;Nacho;Villaverde;Los Angeles;40.35622691003506;-3.703613979239072;Entire home/apt;80.0;1;13;2024-08-24;0.85;86;332;11;;madrid
53930309;Olala Madrid Sur Apartment 1B;129000409;Olala Homes;Puente de Vallecas;San Diego;40.397646625670674;-3.668140456851397;Entire home/apt;159.0;1;24;2024-08-01;0.74;47;337;1;;madrid
767206311522578468;Ático soleado en el centro;30256733;Juan;Centro;Embajadores;40.41017;-3.69766;Entire home/apt;81.0;2;114;2024-09-03;5.66;17;98;73;;madrid
5847367;Luxury penthouse in Madrid´s sky.;30358377;Enrique;Chamartín;Nueva España;40.46303;-3.68912;Entire home/apt;285.0;3;131;2024-07-08;1.15;2;352;18;;madrid
1055610354179107489;Apartamento Agradable 3;510503403;Sandra Maria;Hortaleza;Canillas;40.4596115;-3.6514127;Entire home/apt;110.0;1;15;2024-07-28;1.77;3;115;15;;madrid
970201732486715278;Vistalegre Apartments5;444912851;Duke;Carabanchel;Vista Alegre;40.38573521536121;-3.74161287125416;Entire home/apt;155.0;1;9;2024-04-30;0.79;131;101;9;;madrid
26597228;Center - Gran Via.  Sunny & Nice Apartment SR;45070687;Santiago/Eduardo;Centro;Justicia;40.42135;-3.69729;Entire home/apt;104.0;3;131;2024-08-25;1.76;3;3;36;VT-3448;madrid
1362092;Cozy Attic in Prime Location;7394119;Alberto;Centro;Justicia;40.42187;-3.69876;Entire home/apt;96.0;5;298;2024-08-05;2.21;1;59;42;;madrid
1205381493201894288;small center;70472532;Gian;Centro;Embajadores;40.40951;-3.70023;Entire home/apt;62.0;3;5;2024-08-26;3.41;2;65;5;;madrid
736218594836287947;Apartamento Manuel Becerra - Ventas - Hospitales;449990;Silvia;Salamanca;Fuente del Berro;40.42631;-3.66238;Entire home/apt;1457.0;2;2;2024-05-03;0.1;2;365;1;;madrid
1101937123519076298;Puerto Alto Apartment with Terrace by Olala Homes;129000409;Olala Homes;Puente de Vallecas;San Diego;40.39289;-3.66872;Entire home/apt;163.0;1;1;2024-05-20;0.26;47;345;1;;madrid
1101936921501719122;Puerto Alto Studio Apartment by Olala Homes;129000409;Olala Homes;Puente de Vallecas;San Diego;40.39278;-3.66845;Entire home/apt;144.0;1;4;2024-07-19;1.26;47;356;4;;madrid
1180502431822783894;Acogedora habitación en Atocha;483507991;Laura;Retiro;Jerónimos;40.40908;-3.68826;Private room;45.0;1;2;2024-07-04;0.81;2;14;2;;madrid
802565603162801785;Apartamento con Terraza amplio y Precioso;458804781;Olga Cecilia;San Blas - Canillejas;Simancas;40.43849939923457;-3.627383994429257;Entire home/apt;94.0;1;16;2024-07-24;0.83;2;339;8;;madrid
1133082926244884842;Habitación Individual Madrid Centro, Atocha-Retiro;31284363;Cristian;Retiro;Pacífico;40.4063;-3.68071;Private room;48.0;1;10;2024-09-07;10.0;7;103;10;;madrid
37778464;Bright double room -SUN;273711626;Sara;Carabanchel;San Isidro;40.40048;-3.72314;Private room;60.0;2;7;2024-05-22;1.4;5;45;7;;madrid
834414273711162560;Lindo estudio cerca del centro!;108998840;Reem;Latina;Cármenes;40.4038052;-3.7381326;Entire home/apt;85.0;2;68;2024-08-22;5.4;1;147;65;;madrid
1096524712032933890;V - Luminous Twin room (Anton Martin);313505054;Mario;Centro;Embajadores;40.410087325945376;-3.6982258757856856;Private room;45.0;1;5;2024-07-22;0.85;4;17;5;;madrid
11619293;Alquiler por días o semanas, mínimo 2 días;61529290;Jose Luis;Latina;Puerta del Angel;40.41299;-3.72621;Entire home/apt;55.0;2;460;2024-09-06;4.46;1;52;55;;madrid
5431622;Private room in Chamartin with en-suite;12186814;Alexandra;Chamartín;Nueva España;40.46611;-3.68246;Private room;120.0;3;22;2024-06-17;0.81;2;283;6;;madrid
26329598;4-AMAZlNG!_5*_2Bdrms+2Bthrms+5beds_superCENTRAL;7976340;Pilar;Centro;Embajadores;40.40597152709961;-3.70032811164856;Entire home/apt;216.0;3;185;2024-08-18;2.47;8;141;48;7102;madrid
959601764746684598;Acogedor e independiente. Wizink+Civitas+Centro;532278757;Manuel;Ciudad Lineal;Pueblo Nuevo;40.43258608080336;-3.640530444681645;Entire home/apt;71.0;2;35;2024-07-22;3.35;1;91;35;0000023654;madrid
51142091;Very well connected apartment in Embajadores;291759043;Iván;Centro;Embajadores;40.40603;-3.70256;Entire home/apt;83.0;1;20;2024-07-21;0.54;16;341;8;;madrid
771404217979761465;Hab. individual en bonito piso.;268106804;Noelia;Carabanchel;Opañel;40.39516;-3.71899;Private room;35.0;2;24;2024-06-04;1.11;1;355;10;;madrid
917793375001282023;atico reformado en vallecas;391810099;Nacho;Puente de Vallecas;San Diego;40.39358568050083;-3.6695904760449336;Entire home/apt;95.0;1;1;2024-05-13;0.25;86;327;1;;madrid
34806436;Clean and practical room;262219491;Oscar Y Maria;Ciudad Lineal;Ventas;40.42508;-3.65379;Private room;74.0;1;37;2024-06-23;0.61;4;180;4;;madrid
1196964987248734104;Beautiful flat in Madrid;460391145;Francisco Andres;Ciudad Lineal;Pueblo Nuevo;40.43158;-3.64294;Entire home/apt;122.0;1;2;2024-07-23;1.02;130;313;2;;madrid
3175720;Apartamento estudio en el centro de Madrid, Chueca;4936824;Hamza;Centro;Justicia;40.42258834838867;-3.69783091545105;Entire home/apt;99.0;6;27;2024-07-25;0.7;1;66;11;;madrid
889616163902530389;BNBHolder Trendy Centre;430264712;Emilio;Centro;Embajadores;40.40941;-3.7025;Entire home/apt;148.0;1;27;2024-08-12;1.71;68;353;23;;madrid
40366806;BNBHolder Cervantes' House LAS LETRAS;28786243;Emilio;Centro;Cortes;40.41301;-3.69741;Entire home/apt;449.0;1;22;2024-05-31;0.39;76;256;1;;madrid
